,id_0,0|order_make,0|remove_obstacle,0|ad_opened,0|ad_finished,0|energy,0|energy_get,0|coin_cost,0|coin_get,0|ruby_cost,0|ruby_get,label
5404,E902ADCB-C6E4-4641-B6FB-C37A2CDEDCE0,29.0,143.0,28.0,14.0,19.0,1323.0,2915.0,3452.0,428.0,631.0,1
4401,cbdc8e18ed4fe7cc,11.0,25.0,0.0,0.0,2.0,50.0,450.0,767.0,33.0,33.0,0
4830,9E539385-C938-410A-BBCA-2FCFD307536F,4.0,8.0,0.0,0.0,66.0,25.0,0.0,327.0,12.0,15.0,1
2168,46c72adafbfd218c,15.0,36.0,2.0,1.0,86.0,265.0,300.0,911.0,0.0,31.0,1
7469,ea9dfe1604daf05e,19.0,70.0,2.0,1.0,1.0,445.0,1500.0,1527.0,38.0,89.0,1
263,0ca72b967ced9536,4.0,20.0,0.0,0.0,14.0,50.0,0.0,522.0,0.0,20.0,0
1359,2ba356deefec64ad,7.0,48.0,0.0,0.0,0.0,295.0,350.0,1104.0,24.0,46.0,1
7002,d85c0534d371c7af,10.0,46.0,0.0,0.0,89.0,265.0,0.0,907.0,16.0,41.0,1
3554,7294c16953b242f0,2.0,8.0,0.0,0.0,91.0,50.0,0.0,499.0,0.0,20.0,1
5009,ecb12dfa9cf664ef,1.0,8.0,0.0,0.0,91.0,50.0,0.0,356.0,0.0,20.0,0
1675,36EA12E0-87E4-4381-BAD4-9834ADB40A19,21.0,49.0,4.0,1.0,32.0,103.0,1000.0,1193.0,28.0,77.0,1
2688,7d1f8011cf505d40,2.0,8.0,0.0,0.0,91.0,50.0,0.0,414.0,0.0,20.0,0
4009,803fcf25512124cd,6.0,49.0,0.0,0.0,4.0,265.0,0.0,1058.0,0.0,36.0,1
4287,897da4cef7de96c0,9.0,56.0,0.0,0.0,82.0,510.0,1025.0,1053.0,41.0,44.0,1
7404,e7ee60ffed2363d2,7.0,61.0,0.0,0.0,89.0,565.0,1305.0,1351.0,41.0,54.0,1
476,0ec7e8fde2e20ec5,13.0,69.0,10.0,5.0,11.0,415.0,605.0,1375.0,25.0,54.0,1
5099,AE0CA9FC-2ECF-4118-8C31-1175034FF4B8,8.0,56.0,2.0,1.0,9.0,355.0,660.0,1099.0,25.0,44.0,1
2547,765998306d896921,2.0,8.0,0.0,0.0,91.0,50.0,0.0,415.0,0.0,20.0,0
3028,625829a202dda315,16.0,103.0,34.0,17.0,13.0,870.0,1050.0,1786.0,7.0,59.0,1
7704,f231fe09500d1ff9,17.0,85.0,14.0,7.0,22.0,585.0,805.0,1505.0,25.0,54.0,1
1531,47b3d19b63834dd3,9.0,62.0,2.0,1.0,1.0,335.0,350.0,1229.0,7.0,56.0,0
3323,9d4d0b67ee016464,3.0,8.0,0.0,0.0,91.0,50.0,0.0,375.0,0.0,20.0,0
3848,b0378d0aa13f2f67,3.0,9.0,0.0,0.0,86.0,50.0,0.0,483.0,0.0,20.0,0
2318,4a6faa9966b534d2,19.0,120.0,32.0,15.0,9.0,955.0,1050.0,1806.0,25.0,61.0,1
4981,9eb5f58b317ce9af,5.0,49.0,0.0,0.0,7.0,265.0,0.0,1180.0,3.0,34.0,1
1992,411a4e3830579b0c,10.0,39.0,1.0,0.0,104.0,280.0,0.0,897.0,0.0,36.0,1
445,0d56555462af9b6d,11.0,100.0,11.0,11.0,3.0,801.0,1455.0,1481.0,0.0,50.0,1
1330,3d854867a8e7f13e,1.0,3.0,0.0,0.0,99.0,25.0,0.0,269.0,0.0,15.0,0
