0|ad_finished,0|coin_get,0|coin_use,0|game_start,0|game_win,0|hint_use,0|ta_app_end,1|ad_finished,1|coin_get,1|coin_use,1|game_start,1|game_win,1|hint_use,1|ta_app_end,2|ad_finished,2|coin_get,2|coin_use,2|game_start,2|game_win,2|hint_use,2|ta_app_end,3|ad_finished,3|coin_get,3|coin_use,3|game_start,3|game_win,3|hint_use,3|ta_app_end,label
4.0,423.0,600.0,27.0,25.0,13.0,2363.243,11.0,957.0,900.0,93.0,91.0,8.0,14868.945000000003,48.0,2833.0,2900.0,55.0,52.0,14.0,16316.255,36.0,2078.0,1800.0,23.0,22.0,3.0,8636.645,1
0.0,126.0,0.0,19.0,19.0,1.0,886.424,3.0,427.0,0.0,44.0,44.0,3.0,4930.16,0.0,77.0,700.0,33.0,32.0,8.0,4411.286,1.0,64.0,0.0,10.0,8.0,0.0,2220.723,0
0.0,54.0,0.0,11.0,8.0,1.0,535.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,484.0,600.0,80.0,76.0,14.0,8756.631000000001,2.0,200.0,0.0,33.0,28.0,0.0,8983.592999999999,25.0,742.0,1000.0,26.0,21.0,7.0,8039.302,119.0,3421.0,3400.0,63.0,53.0,36.0,18193.048000000006,1
9.0,1015.0,1200.0,90.0,87.0,20.0,8189.232,62.0,2653.0,2500.0,31.0,26.0,25.0,7749.775999999999,45.0,1752.0,1900.0,8.0,5.0,19.0,3419.074,42.0,1582.0,1600.0,8.0,6.0,16.0,3590.748,0
6.0,337.0,500.0,18.0,17.0,11.0,4926.82,0.0,8.0,0.0,2.0,1.0,0.0,654.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,53.0,0.0,7.0,7.0,0.0,392.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,93.0,0.0,15.0,15.0,0.0,1089.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,25.0,0.0,3.0,3.0,0.0,189.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,400.0,23.0,21.0,6.0,5139.478,0.0,134.0,100.0,38.0,38.0,2.0,10292.993,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,59.0,0.0,10.0,10.0,0.0,509.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,25.0,0.0,4.0,4.0,0.0,99.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,26.0,0.0,5.0,5.0,0.0,172.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,60.0,0.0,11.0,10.0,0.0,585.6859999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,676.0,0.0,75.0,75.0,2.0,6411.4670000000015,1.0,124.0,0.0,17.0,15.0,6.0,2616.519,0
0.0,0.0,0.0,22.0,21.0,5.0,0.0,0.0,0.0,0.0,30.0,28.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,5.0,0.0,0.0,0.0,0.0,21.0,17.0,6.0,0.0,1
0.0,394.0,0.0,42.0,41.0,2.0,3358.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,29.0,28.0,2.0,3345.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,320.0,0.0,21.0,21.0,0.0,1016.873,0.0,203.0,0.0,42.0,42.0,2.0,4892.299,0.0,35.0,0.0,16.0,16.0,1.0,1792.1229999999998,0.0,39.0,0.0,16.0,16.0,3.0,2777.3590000000004,0
0.0,27.0,0.0,4.0,4.0,0.0,89.965,0.0,1.0,0.0,3.0,2.0,0.0,98.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,88.0,0.0,15.0,14.0,1.0,451.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,449.0,200.0,43.0,42.0,8.0,5900.161,0.0,4.0,0.0,3.0,2.0,1.0,330.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,365.0,0.0,31.0,30.0,0.0,2739.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,422.0,300.0,44.0,41.0,10.0,5860.076999999999,3.0,96.0,400.0,8.0,7.0,5.0,1648.2579999999998,1.0,137.0,0.0,36.0,31.0,0.0,6329.87,4.0,221.0,300.0,22.0,19.0,3.0,6022.895,0
1.0,57.0,200.0,7.0,6.0,8.0,624.7460000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,239.989,0
0.0,108.0,300.0,19.0,18.0,9.0,1121.71,0.0,0.0,0.0,0.0,0.0,0.0,4.2139999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,200.0,4.0,3.0,7.0,439.25199999999995,0
0.0,347.0,0.0,22.0,22.0,2.0,988.883,0.0,309.0,0.0,79.0,75.0,3.0,4098.106,0.0,212.0,300.0,33.0,31.0,6.0,5639.7559999999985,0.0,5.0,0.0,2.0,1.0,0.0,127.51,1
0.0,52.0,0.0,8.0,7.0,0.0,186.56900000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,308.0,200.0,22.0,20.0,8.0,1842.4979999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,28.0,100.0,7.0,6.0,3.0,339.8769999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,591.0,0.0,77.0,76.0,5.0,8860.52,0.0,5.0,200.0,3.0,1.0,5.0,699.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,405.0,0.0,45.0,44.0,4.0,3047.242,0.0,102.0,300.0,35.0,34.0,7.0,3172.159,0.0,215.0,400.0,34.0,35.0,4.0,6244.789000000001,0.0,144.0,100.0,12.0,9.0,1.0,2066.343,1
0.0,351.0,0.0,25.0,25.0,1.0,2556.472,1.0,293.0,100.0,70.0,68.0,8.0,13774.994000000002,0.0,147.0,800.0,23.0,22.0,8.0,10119.863000000001,0.0,232.0,100.0,33.0,31.0,2.0,11996.518,1
0.0,54.0,0.0,8.0,7.0,0.0,709.193,0.0,300.0,200.0,22.0,20.0,4.0,5803.861999999999,0.0,120.0,400.0,30.0,28.0,10.0,12799.715,0.0,24.0,0.0,10.0,8.0,0.0,4019.918000000001,1
0.0,487.0,0.0,53.0,51.0,0.0,3973.936000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,39.0,36.0,5.0,4441.09,0.0,136.0,0.0,25.0,22.0,2.0,5438.425,1
0.0,430.0,500.0,45.0,44.0,12.0,5176.135,7.0,418.0,300.0,51.0,50.0,4.0,10578.191,5.0,284.0,400.0,10.0,8.0,4.0,3586.623,3.0,260.0,200.0,8.0,6.0,2.0,3414.475,1
0.0,521.0,0.0,58.0,52.0,0.0,3212.1710000000007,3.0,30.0,0.0,9.0,8.0,5.0,0.0,0.0,53.0,0.0,30.0,20.0,5.0,4717.16,0.0,152.0,400.0,31.0,17.0,4.0,6916.085999999999,0
1.0,491.0,200.0,60.0,58.0,10.0,5707.967,1.0,148.0,600.0,41.0,39.0,6.0,6409.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,849.0110000000001,0
0.0,27.0,0.0,3.0,3.0,0.0,306.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,1.0,1.0,0.0,112.42200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,335.0,500.0,26.0,25.0,12.0,3278.9970000000003,0.0,115.0,100.0,26.0,24.0,1.0,4712.245,0.0,0.0,0.0,0.0,0.0,0.0,12.184000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,128.0,0.0,19.0,19.0,0.0,1119.878,0.0,247.0,0.0,13.0,13.0,0.0,1010.112,0.0,72.0,0.0,33.0,31.0,1.0,2873.695,0.0,129.0,0.0,38.0,36.0,3.0,4415.745,1
0.0,88.0,0.0,14.0,13.0,0.0,736.4069999999998,0.0,280.0,0.0,14.0,14.0,4.0,1496.724,0.0,50.0,100.0,11.0,10.0,4.0,1049.121,0.0,28.0,200.0,10.0,10.0,2.0,943.5889999999999,0
0.0,93.0,0.0,19.0,18.0,1.0,729.422,0.0,283.0,100.0,18.0,15.0,7.0,1399.719,0.0,31.0,0.0,14.0,12.0,0.0,1121.544,0.0,14.0,400.0,5.0,4.0,5.0,1068.252,0
0.0,94.0,0.0,16.0,15.0,0.0,513.967,0.0,36.0,0.0,4.0,4.0,0.0,1331.0700000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,5.0,4.0,2.0,679.04,0
0.0,25.0,0.0,3.0,3.0,0.0,84.208,0.0,71.0,0.0,13.0,11.0,1.0,469.406,1.0,124.0,0.0,5.0,4.0,2.0,363.971,0.0,227.0,0.0,4.0,3.0,0.0,159.809,0
0.0,354.0,0.0,29.0,29.0,1.0,3542.717,3.0,508.0,800.0,105.0,105.0,15.0,23810.851000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,686.0,800.0,81.0,74.0,8.0,25364.534,1
