id_0,order_make,remove_obstacle,ad_opened,ad_finished,energy_get,coin_cost,coin_get,ruby_cost,ruby_get,label
73e9cc2b43c29dd5,21.0,59.0,0.0,0.0,105.0,75.0,1417.0,25.0,56.0,0
68b7df1eebb6d068,25.0,106.0,0.0,0.0,736.0,1730.0,1872.0,63.0,71.0,1
4759a905bc05b9a3,1.0,8.0,0.0,0.0,50.0,0.0,336.0,0.0,20.0,0
fe4ad117ebc68930,12.0,44.0,0.0,2.0,75.0,515.0,1233.0,0.0,37.0,0
73592961cc38f58b,84.0,291.0,26.0,55.0,2365.0,3260.0,4322.0,338.0,742.0,1
a9aa079af7d24eab,69.0,333.0,34.0,42.0,2625.0,4010.0,4544.0,259.0,283.0,1
a71656566af3d7ba,14.0,94.0,0.0,0.0,742.0,1435.0,1602.0,50.0,63.0,0
c2b5d77a59698e82,20.0,114.0,0.0,1.0,755.0,1910.0,1912.0,66.0,100.0,0
6606f472e402ddd3,10.0,27.0,0.0,0.0,75.0,815.0,920.0,25.0,43.0,0
130957dab3e39d61,124.0,494.0,72.0,75.0,3743.0,6765.0,6789.0,539.0,766.0,1
b35cfe962ef40023,8.0,15.0,0.0,0.0,170.0,550.0,753.0,35.0,125.0,1
a4acba413c1517c9,12.0,61.0,4.0,2.0,375.0,775.0,1503.0,46.0,60.0,0
ec6f29ecc7283ddc,2.0,8.0,0.0,0.0,50.0,0.0,357.0,0.0,20.0,0
7dd1d568e97866dd,0.0,3.0,0.0,0.0,0.0,0.0,214.0,0.0,5.0,0
9dda5ab45f1ee5a7,212.0,404.0,179.0,127.0,2575.0,6970.0,7016.0,645.0,739.0,1
ee10a895cf8da734,69.0,266.0,0.0,10.0,1775.0,2785.0,4004.0,141.0,256.0,1
09c7f5bb11dbce21,72.0,241.0,20.0,67.0,1855.0,3500.0,5842.0,104.0,903.0,1
F6B894E8-D12B-4422-8187-54966344997A,11.0,108.0,0.0,0.0,662.0,1585.0,1826.0,14.0,69.0,1
B2FDB6CA-3977-4D95-A351-CD640DCCDC5E,26.0,83.0,0.0,4.0,365.0,0.0,1622.0,35.0,89.0,1
c6a4702e52c3507b,178.0,450.0,0.0,1.0,2487.0,7800.0,8161.0,95.0,1181.0,1
ee34f423c4d03268,66.0,283.0,5.0,1.0,1385.0,1535.0,3105.0,25.0,91.0,1
6E85A52C-669A-46FA-B0E0-B01605B1E03A,20.0,124.0,0.0,0.0,565.0,0.0,1922.0,87.0,100.0,1
56A6BADC-D045-4819-AC63-33581B22E476,12.0,47.0,0.0,4.0,75.0,0.0,1128.0,0.0,36.0,0
d43b4b3069a29833,2.0,3.0,0.0,0.0,25.0,0.0,269.0,0.0,15.0,1
33BBF811-E670-4A30-B227-38A5593687E7,2.0,8.0,0.0,0.0,50.0,0.0,528.0,0.0,20.0,0
f4b626181199dba2,5.0,7.0,0.0,0.0,25.0,0.0,271.0,12.0,15.0,0
c548a244bf8f3287,24.0,172.0,2.0,0.0,1028.0,2485.0,2490.0,93.0,121.0,1
d382f69cc47e17e2,1.0,8.0,0.0,0.0,50.0,0.0,337.0,0.0,20.0,0
7fa96c10ca457007,1.0,7.0,0.0,0.0,25.0,0.0,269.0,0.0,15.0,0
073a1d481ef975f5,8.0,22.0,0.0,2.0,50.0,0.0,715.0,26.0,33.0,0
20a5ff55357cba57,5.0,26.0,0.0,0.0,75.0,0.0,951.0,0.0,31.0,0
a6112c036157e441,62.0,338.0,0.0,7.0,1335.0,0.0,4245.0,51.0,99.0,1
60a4d25b2d7163cf,2.0,16.0,0.0,0.0,50.0,0.0,458.0,0.0,22.0,0
9cb751e8f86b01a5,10.0,83.0,2.0,1.0,519.0,1125.0,1191.0,25.0,45.0,0
86ae4f17ea900d15,78.0,354.0,2.0,2.0,2144.0,4870.0,4921.0,181.0,195.0,1
8a3a5d3b28df242e,41.0,221.0,2.0,26.0,1465.0,2880.0,3235.0,142.0,147.0,1
41d8d2e71cf1c0d2,12.0,34.0,0.0,0.0,75.0,0.0,818.0,25.0,32.0,0
949129fc83d6716f,14.0,86.0,0.0,0.0,105.0,150.0,1512.0,0.0,48.0,0
178b2fa021ebf97d,10.0,67.0,0.0,0.0,335.0,410.0,1324.0,0.0,46.0,0
9d5580632422b453,2.0,8.0,0.0,0.0,50.0,0.0,409.0,0.0,20.0,0
